created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,geo,coordinates,user_id,user_screen_name,user_name,user_location,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-10-18 10:00:01,"Georgia Gov. Brian Kemp and Democratic Challenger Stacey Abrams faced off in their first debate of 2022. Here are the issues they discussed: ,",[],[],[],5,24,,,,,15012486,CBSNews,CBS News,"New York, NY",597,8824325,364,True,353683
2022-10-17 23:18:51,"For the first time in my life, I don't feel compelled to watch a major political debate because there is a 0.00% chance Brian Kemp will lose to Stacey Abrams",[],[],[],0,2,,,,,86094261,mf_viola,Mike Viola,"Atlanta, GA",630,806,27645,False,12647
2022-10-17 22:32:07,"Stacey Abrams v. Brian Kemp Debate on GPB (Georgia Public television) at 7:00 pm ET Also streaming on various websites. ,",[],[],[],2,2,,,,,1394438520664698883,Ga21Renee,ReneeGA21 🌎🌊,Atlanta,2979,2186,11479,False,8978
2022-10-17 22:00:00,"The most recent CBS News Battleground Tracker poll shows Brian Kemp leading Stacey Abrams 52% to 46%. ,",[],[],[],19,95,,,,,15012486,CBSNews,CBS News,"New York, NY",597,8824325,364,True,353683
2022-10-17 20:48:26,"Brian Kemp HAS PURGED $100,000+ ppl off the voting rolls. I voted early to make sure I wasn't purged, and you should do the same..... 7:00 to 7:00 p.m. including weekends ,",[],[],[],0,0,,,,,283398831,deepdimlpes,jacqlyn smith,,3300,2879,29129,False,122123
2022-10-17 19:57:45,"Governor General Election Debate Governor - Airs Live from 7:00 - 8:00 p.m. Stacey Abrams (D), Shane Hazel (L), Brian Kemp (R) , ,",[],[],[],0,1,,,,,1309874447202033665,GSCSDistrict1,Board Member R. Syntel Brown,"Griffin, GA",1670,703,4280,False,1805
2022-10-17 19:33:03,"Last time Gov. Brian Kemp debated, he admitted to passing SB 202 (anti-voter law inspired by Trump's Big Lie) because he was ""frustrated"" Democrats won in 2020. Tune in at 7:00 PM ET to watch debate Brian Kemp: , ,",[],[216065430],['staceyabrams'],9,24,,,,,3232804748,MaxFlugrath,Max Flugrath😤,Atlanta,1430,4884,20097,False,7411
2022-10-17 14:21:58,"Georgia Governor candidates - Airs Live from 7:00 - 8:00 p.m. CANDIDATES: Shane Hazel (L) Stacey Abrams (D) Brian Kemp (R) ,",[],[123036487],['ShaneTHazel'],7,18,123036487,ShaneTHazel,,,1151154768590647299,LawnGnome4308,Grumpy Gnome 🪖,"Georgia, USA",1880,1066,10116,False,18740
2022-10-17 00:28:52,"Remember tomorrow night Georgia Governor candidates - Airs Live from 7:00 - 8:00 p.m. CANDIDATES: Stacey Abrams (D) Shane Hazel (L) Brian Kemp (R) ,",[],[],[],0,1,,,,,1151154768590647299,LawnGnome4308,Grumpy Gnome 🪖,"Georgia, USA",1880,1066,10116,False,18740
