created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,geo,coordinates,user_id,user_screen_name,user_name,user_location,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-10-22 18:28:41,If Lindsey didnt attempt to interfere in Georgias election he wouldnt have to go through these shenanigans.,[],"[1296255120141889536, 1367531]","['1MoniqueWorthy', 'FoxNews']",0,1,1296255120141889536,1MoniqueWorthy,,,974452365754380288,britknee_00,Brittany,"San Diego, CA",126,832,46956,False,17895
2022-10-21 10:15:00,"Sen. Lindsey Graham must testify before a special grand jury investigating whether then-President Trump and others illegally tried to influence the 2020 election in Georgia. ,",[],[],[],10,48,,,,,17134268,CBSMornings,CBS Mornings,United States,1859,501952,12039,True,180427
2022-10-20 12:01:18,"Don't miss Rev Up Georgia's call this morning at 10:00! With only 22 days left until the Midterm Election, voters need to be sure their polling places are accessible BEFORE voting. Join the discussion by registering in advance at , ,","['GaPol', 'DisabilityVote']",[],[],0,0,,,,,204790443,georgiacouncil,Georgia Council on Developmental Disabilities,"Atlanta, Georgia",986,2156,1307,False,5000
2022-10-17 16:55:03,"Join me TONIGHT on LIVE Georgia Gubernatorial Debate / Election Integrity? with and Reaching Across The Aisle. Today, Oct 17 at 7:00 PM EDT in Join us! ,","['Clubhouse', 'ReachingAcrossTheAisle', 'ClubHouse', 'TamaraShealey']","[484234573, 1242240513811480576]","['ValenciaStovall', 'Clubhouse']",0,1,,,,,729414452651692032,TamaraShealey,"Tamara Johnson-Shealey, J.M.","Atlanta, GA",1319,4407,5411,True,3415
2022-10-17 16:45:18,So you're telling me that during the 2020 election It's Perfectly Normal to fake a water pipe bursting in Georgia so you kick all the poll Watchers out then resume counting at 3:00 a.m.? or papering up Windows so poll Watchers couldn't see what they were doing?,[],[14570525],['realworldrj'],0,0,14570525,realworldrj,,,1395211298074472454,sun72_florida,FloridaSun72,,280,95,1881,False,3927
2022-10-17 14:21:58,"Georgia Governor candidates - Airs Live from 7:00 - 8:00 p.m. CANDIDATES: Shane Hazel (L) Stacey Abrams (D) Brian Kemp (R) ,",[],[123036487],['ShaneTHazel'],7,18,123036487,ShaneTHazel,,,1151154768590647299,LawnGnome4308,Grumpy Gnome 🪖,"Georgia, USA",1880,1066,10117,False,18740
2022-10-17 00:28:52,"Remember tomorrow night Georgia Governor candidates - Airs Live from 7:00 - 8:00 p.m. CANDIDATES: Stacey Abrams (D) Shane Hazel (L) Brian Kemp (R) ,",[],[],[],0,1,,,,,1151154768590647299,LawnGnome4308,Grumpy Gnome 🪖,"Georgia, USA",1880,1066,10117,False,18740
