created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,geo,coordinates,user_id,user_screen_name,user_name,user_location,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-11-09 20:56:19,But you had no problem with Brian Kemp controlling it.,[],[1112724144427139072],['JamesBradleyCA'],0,0,1112724144427139072,JamesBradleyCA,,,1241067558146412544,LarsPacheco13,Lars Pacheco,"Ohio, USA",571,300,27568,False,5788
2022-11-09 20:56:15,Methinks Warnock. - Herschel Walker can't depend on Brian Kemp to carry him any more. - Herschel Walker is also a terrible candiate - Getting GOPers out for a runoff election isn't an easy sell and may be even harder if Arizona and Nevada go blue and the senate is already lost.,[],[18643437],['PrisonPlanet'],0,0,18643437,PrisonPlanet,,,4193666714,LoveYourGoalie,RockyMountainSportsNut,Colorado or Dreamland,365,40,3110,False,3552
2022-11-09 20:56:11,"And third, Brian Kemp intentionally disproportionally purged minority voter rolls after it was too late for those voters to correct any issues. But sure, tell me more about how Katie Hobbs is doing something wrong when she didnt do any of that.",[],[814312079184101376],['JJtrollzLibs'],0,2,24205205,airsinclair28g,,,24205205,airsinclair28g,Chris Sinclair,"New York, NY",1,47,143,False,1799
2022-11-09 20:55:40,"Brian Kemp came to my city 5x this year's, Buddy Carter and Hershel Walker once. Senator Warnock came to Savannah a few weeks ago. We needs more civic engagement in our rural towns. We also need more engagement from our local leaders. Even though that are rep leaning.",[],"[16116288, 216065430, 1352287997853622273]","['rolandsmartin', 'staceyabrams', 'SenatorWarnock']",0,0,474512590,Calvin_AJohnson,,,474512590,Calvin_AJohnson,Calvin Johnson,"Jesup, Georgia ",111,7,977,False,667
2022-11-09 20:55:28,"Same thing happened with Brian Kemp in Georgia 2018. He was SOS and wouldn't step down. And, checks notes, he's Republican.",[],[1502412840854077442],['Floridadude76'],0,1,1502412840854077442,Floridadude76,,,2398365646,dorokrakow,dorojane 🌊🍑💙,"Georgia, USA",2504,2409,67791,False,20984
2022-11-09 20:55:21,"But Repugnants were A okay when Kemp did it in 2018. Repugnants are flaming hypocrites. Cry harder,  ,",[],[15212187],['bennyjohnson'],0,0,15212187,bennyjohnson,,,1004192521403150337,ScorpioVenom31,Vicki Queen 👑 of typos,Nowhere,3710,3644,56444,False,52728
2022-11-09 20:54:54,"Of COURSE you will have tweets like this in regards to Brian Kemp, right? In 2018",[],[1552795969959636992],['EndWokeness'],0,0,1552795969959636992,EndWokeness,,,19847251,ashupasu,USAF Veteran- #StandWithUkraine Putin is a Coward.,USA Fiji India NZ Sumeria Eden,1196,594,14420,False,44184
2022-11-09 20:54:36,Two words: Brian Kemp,[],[2908170952],['DiamondandSilk'],0,0,2908170952,DiamondandSilk,,,1361107630333157376,8ongMaranan,Mad Hatter,"Los Angeles, CA",117,40,39882,False,1645
2022-11-09 20:54:34,Congratulations Governor Kemp &amp; Family ,[],[47437206],['BrianKempGA'],0,0,47437206,BrianKempGA,,,1478633066511974400,kemp_hancock,Rose Hancock Kemp,,36,14,79,False,28
2022-11-09 20:54:29,"Yeah. I'm sure you said the same when SoS Brian Kemp was running for governor in Georgia, right? Hmmm. All I'm hearing now is crickets.",[],[1112724144427139072],['JamesBradleyCA'],0,0,1112724144427139072,JamesBradleyCA,,,47717274,suilebhan,Turpentine Sandwich,"Puyallup, WA, USA",117,14,5936,False,967
2022-11-09 20:54:28,"Georgia Gov. Brian Kemp Gives Victory Speech In 2022 Midterms ,","['Biden', 'NBC', 'MSNBC', 'CNBC', 'India', 'CNN', 'World', 'shorts', 'saudi', 'twitter', 'Movie', 'BB', 'Breaking', 'StrongerTogether', 'Vote', 'News', 'China', 'USA', 'UK', 'Russia', 'Ukraine', 'WW3', 'Putin', 'Sweden']",[],[],0,0,,,,,1167202523330969601,_Thirunarayan1,⚠💙💯 I Follow BACK ☮️🌊 PEACE World USA தமிழ்,🌎-I FOLLOW IN 24 ⌛️hrs /LESS,14295,14224,34697,False,201605
2022-11-09 20:54:24,"It's one thing to pretend the entire nations' Secretaries of State all colluded to take the presidency from one person, and another entirely to lay out the case when a single Secretary of State cheats in order to become governor. Kemp is a cheater. Suck it, Ari.",[],[35218566],['AriFleischer'],0,0,35218566,AriFleischer,,,808187880,tgrigsby777,Todd Grigsby,,706,387,23831,False,7098
2022-11-09 20:53:48,For the same reason Brian Kemp didnt go to jail. Always the victim.,"['MAGAcult', 'MAGAmeltdown', 'ConspiracyTheories']",[873802968633450496],['CindyLouCoffey1'],0,1,873802968633450496,CindyLouCoffey1,,,825539171729051648,justbitsy,rAdIcAlLeFtMaNiAc🫐#BlueCrew💙,"MyTaxesSubsidizeRedStates, USA",3952,3107,114304,False,72592
2022-11-09 20:53:47,"did she ever concede for both races. Stacey Abrams vows to &amp;#8216;never stop running&amp;#8217; despite conceding to Gov. Brian Kemp via - ,",[],[1238568478690476032],['americanwire_'],0,0,,,,,1587184106739228678,oldtruth21,oldtruth,,12,0,63,False,104
2022-11-09 20:53:27,"Just a little FYI Brain Kemp did the exact same thing in 2018and yall were pretty quiet ,",[],[1495194673622630402],['thetrumplady'],0,0,1495194673622630402,thetrumplady,,,1030733599392186368,mrleggaiy1,mrleggaiy,"Melbourne, Victoria",336,114,18350,False,9261
2022-11-09 20:52:28,Super weird how no one on the right said that about Brian Kemp last time. Or this time.,[],[873802968633450496],['CindyLouCoffey1'],0,0,873802968633450496,CindyLouCoffey1,,,28896704,snow_lynx,Solomon 🏳️‍🌈🏳️‍⚧️✡️💙🌹,"Texas, USA",671,681,47365,False,28061
2022-11-09 20:52:12,Someone jump in the way way back machine and see if Tim felt the same way about Brian Kemp in 2018.,[],[34367582],['TimRunsHisMouth'],0,0,34367582,TimRunsHisMouth,,,778635585825091588,Mike_77Martinez,Mike would like more dressing 🍗🥧🍂,"Lufkin, TX.",4700,4288,37922,False,20095
2022-11-09 20:51:53,"Well , it didn't disqualify brian Kemp. So. .let's go",[],[1112724144427139072],['JamesBradleyCA'],0,0,1112724144427139072,JamesBradleyCA,,,900625499042455552,dorenjanet,Janet Van Doren,"Renton, WA",314,24,10626,False,5355
2022-11-09 20:51:39,BREAKING: Stacey Abrams has called Gov. Brian Kemp to concede the race for Georgia governor,[],[],[],0,0,,,,,1573479328603578369,winni_onions,一个不愿轻易屈服的人,Hogwarts,63,15,0,False,1
2022-11-09 20:51:17,Those of you who are outraged that Katie Hobbs (the secretary of state) is running for governor were silent about brian kemp. You have EVERY right to question this. THIS was the reason why Stacey Abrams never conceded.,[],[],[],1,2,,,,,330301760,Prince3eb,🇺🇸Misty Gerri Santoro 🇺🇦,Prochoice ,13475,12291,203690,False,115505
2022-11-09 20:50:33,Now do Brian kemp,[],[35809936],['jannykmak'],0,0,35809936,jannykmak,,,810898307153326084,SockYuri,the new boss,I'm everywhere you want to be.,956,397,16778,False,31276
2022-11-09 20:50:15,Have you seen his ads? Calling Brian Kemp a rational republican is a joke.,[],"[429227921, 11134252]","['cenkuygur', 'GOP']",0,0,429227921,cenkuygur,,,2918205443,modrnmisfit,Jared,"Georgia, USA",607,49,4144,False,657
2022-11-09 20:49:38,Lake could win. But Ducey would have won the senate seat easily. And Brian Kemp might have something to say,[],[2642649732],['tnix113'],0,1,2642649732,tnix113,,,36968249,alcanata,Al Canata,,254,104,5793,False,1513
2022-11-09 20:49:03,"Because she was overseeing the election. Even Brian Kemp, who was SOS in GA recused himself when he ran for governor of GA.",[],"[1345866430969999362, 22401823, 1043185714437992449]","['AARCEntertainm3', 'nofeargage', 'catturd2']",0,0,1345866430969999362,AARCEntertainm3,,,1538937337861722112,Zoom2k2,Just Mike,"Washington, USA",944,707,8710,False,6732
2022-11-09 20:48:56,Brian Kemp isn't a CTE addled football player with kids to half a dozen different mothers,[],[358545917],['Cernovich'],0,0,358545917,Cernovich,,,1265214819768008705,DrJMoneyPHD,John Money (Real name on ID),"Nicktown, Guyana 🇬🇾",135,315,182252,False,8227
2022-11-09 20:48:54,Walker wont have Brian Kemp and the rest of the Republican ticket pulling his ass up,[],"[1434713420528553987, 15212187]","['JulesFla21', 'bennyjohnson']",0,0,1434713420528553987,JulesFla21,,,1494472652886585345,ZackV86732125,Zack Venable’s Hairline,"Austin, TX",569,53,5806,False,4840
2022-11-09 20:48:50,I hope you had this same fervor when Brian Kemp oversaw his own race for governor when he was secretary of state.,[],[1457382370269532169],['WettelandJulie'],0,0,1457382370269532169,WettelandJulie,,,863765712,FierceDietyJacu,Jacu,,85,16,2426,False,3699
2022-11-09 20:48:25,You mean the way BRIAN KEMP was in charge of the election he won in 2018? Like that? But please tell us how it's different.....,[],[1112724144427139072],['JamesBradleyCA'],0,0,1112724144427139072,JamesBradleyCA,,,1582889366665719808,JaybeebabyB,NOT_EXONERATED_1,,477,28,1269,False,762
2022-11-09 20:47:59,did it disqualify Brian Kemp in 2018?,[],[1112724144427139072],['JamesBradleyCA'],0,0,1112724144427139072,JamesBradleyCA,,,25843801,lau56,"Larry Underwood: ""Taking A Stand Against Trumpism""","St Louis, Phoenix, Las Vegas ",24397,24409,2226,False,161975
2022-11-09 20:47:58,Now do Brian Kemp.,[],[1187835922118787073],['lavern_spicer'],0,0,1187835922118787073,lavern_spicer,,,43129445,fenwaygreg,Democracy Advocate,NYC Metro Area,6286,5710,4965,False,14590
2022-11-09 20:47:55,"Brian kemp is a terrible governor and he blew out Abrams so the fact that Walker is doing so much worse is largely do to him being an awful candidate, but outside of that and maybe Boebert if she actually loses, the candidate quality narrative/analysis is way overemphasized",[],[],[],0,0,98824984,greg06897,,,98824984,greg06897,Greg C (Cable News Sufferer),What the hell UCSF?,243,5546,134867,False,68342
2022-11-09 20:47:54,What about the ones who re-elected Brian Kemp?,[],[1339835893],['HillaryClinton'],0,0,1339835893,HillaryClinton,,,1285270230973865984,K9Jadie_AZ,Jade Wallin,"Goodyear, AZ",188,129,12377,False,4355
2022-11-09 20:46:48,"Brian Kemp said it - they didnt like the result in 2020, so they changed the law to make sure it didnt happen again. Lets show them that we will still get out and vote. ,","['VoteBlue2022', 'gapol', 'GARunoff']",[],[],0,0,,,,,17028866,jenmulvaney,Jen #WearAMask Mulvaney,"Marietta, GA",635,371,63199,False,33545
2022-11-09 20:46:34,Y'all gotta explain whats compelling about Brian Kemp hahahaha,[],[358545917],['Cernovich'],0,0,358545917,Cernovich,,,1481058697250066433,John43696672,john,,142,14,300,False,220
2022-11-09 20:45:38,"CONGRATULATIONS to Governor Kemp (a former State Senator) and our current colleagues Senators Burt Jones, Tyler Harper, and Bruce Thompson on big statewide wins! ,",['gapol'],[],[],0,2,,,,,1054736639392661505,GASenateGOP,GA Senate Republicans,"Georgia, USA",157,2682,1854,False,1584
2022-11-09 20:45:18,"On the other side of the political aisle, Brian Kemp had a great night, winning re-election over Abrams by a wider margin than in 2018, but he avoided mentioning the Senate runoff in his victory speech. How will his distance impact Walker's runoff? ,",[],[],[],0,1,45642027,AtlantaMagazine,,,45642027,AtlantaMagazine,Atlanta Magazine,"Atlanta, GA",415,496643,773,True,35317
2022-11-09 20:45:04,"Jason Miller engaging in some Trump outreach to Brian Kemp on behalf of Walker. Clearly the former prez has lost political clout and knows it. ,",[],[],[],0,1,,,,,799452120,TimNaftali,Tim Naftali,"Manhattan, NY",2243,16950,3033,False,10558
2022-11-09 20:45:02,"She's not the first sec of state to run for the top job. Go talk to Brian Kemp, the guy who closed polling station and stood Georgians outside for 10+ hours. Then had the legis. pass a bill making it illegal to give others WATER when they were in line for voting.",[],[32804484],['Bubblebathgirl'],0,0,32804484,Bubblebathgirl,,,52261410,mme_ambassador,MsM,,92,87,7544,False,6867
2022-11-09 20:44:46,Never seemed to be a problem for Brian Kemp ...,[],[1112724144427139072],['JamesBradleyCA'],0,1,1112724144427139072,JamesBradleyCA,,,946838127498244096,sailorbill007,Bill Roberts,,4812,3547,87761,False,55878
2022-11-09 20:44:46,Shouldnt you have brought this up when it was Brian Kemp?,[],[1112724144427139072],['JamesBradleyCA'],0,1,1112724144427139072,JamesBradleyCA,,,308797617,klstompkins,Kari Tompkins,"Edmond, Oklahoma",3982,1123,23243,False,9687
2022-11-09 20:44:39,Like Brian Kemp in 2020?,[],[1112724144427139072],['JamesBradleyCA'],0,0,1112724144427139072,JamesBradleyCA,,,120151540,Patrice_Brost1,PATRICE O'ROURKE ⛦🇺🇦,"New Jersey, USA",15010,20252,158679,False,245607
2022-11-09 20:44:16,Brian Kemp also didnt run as a Democrat which has consistently seen around 90% of blk voter supportif Brian Kemp lostthey wouldnt be trying to put it on Blk men like people are trying to nowif Blk folks arent going to get anything specificfor their vote than...Y vote?,[],"[1454409519136743433, 191149293, 2477661396]","['nyshthabeast', 'RicosWay', 'nia_louisee']",0,0,1454409519136743433,nyshthabeast,,,91035538,Syify2423,Syi-Borg,"Orlando, FL",600,351,96323,False,14776
2022-11-09 20:43:30,Well stated Scotty I believe Governor Kemp will do it.,[],"[62047099, 47437206]","['ScottyGman23', 'BrianKempGA']",0,0,62047099,ScottyGman23,,,298572865,larry_mowry,The Old Pro,"Atlanta, Ga",424,425,113897,False,27657
2022-11-09 20:43:26,She also voted for Brian Kemp.,[],[46822887],['AngryBlackLady'],0,1,46822887,AngryBlackLady,,,890273744563863556,NikoMeagher,Legato2057,"Las Cruces, NM",349,214,376840,False,24622
2022-11-09 20:43:05,"Kemp brought jobs to Georgia, signed a bill thats taking state income taxes down every year, put financial education in schools, etc. what exactly did Brian Kemp do that makes you believe he should have lost? I can think of only one thing that wouldve made people quit him.",[],[860632050],['oliviaaaliyah_'],0,0,860632050,oliviaaaliyah_,,,58879837,JulianColvard,Julian I. Colvard,Atlanta University Center,702,2632,423,False,51632
2022-11-09 20:41:38,You werent bitching when Brian Kemp was in the same position.,[],[34367582],['TimRunsHisMouth'],0,0,34367582,TimRunsHisMouth,,,1585027271089430536,MedievalMetal12,RodgerRodger,,8,0,0,False,53
2022-11-09 20:41:36,Your point? Brian Kemp was SoS of Georgia when he ran in 2018 for governor.,[],[3995778614],['KamVTV'],0,0,3995778614,KamVTV,,,702669464815456256,butterbumpz,Soy Division,"Atlanta, GA",733,396,39799,False,6635
2022-11-09 20:41:26,"We shall see if Governor Kemp will encourage his voters to elect Hershel ,",[],[],[],0,0,,,,,1590408941388824576,ogurekg,Ogurekg,,12,0,1,False,13
2022-11-09 20:40:25,Ask Brian Kemp he can answer that. ,[],[1112724144427139072],['JamesBradleyCA'],0,0,1112724144427139072,JamesBradleyCA,,,77619868,RunninRay,Ray Mott,"Baltimore, MD",394,10,5394,False,1501
2022-11-09 20:39:58,"See example Georgia, Gov Brian Kemp, who oversaw his own election with Abrams in 2018.",[],[972637334775582720],['DuppyTech'],0,1,972637334775582720,DuppyTech,,,961645986236923904,msoctoberrocks,Susan Wisner Phillips,#SiliconValley,721,287,11896,False,12871
2022-11-09 20:39:42,"3/3 who were too extreme/incompetent. As long as Trump is your kingmaker, you're going to lose a lot. Loyalty to Trump can't be the biggest (or any kind of) qualifying factor for successful candidates. That's why, for example, Brian Kemp has boatraced Herschel Walker.",[],"[1417987566377312257, 236617309]","['DavidBOstler', 'BYUapologist']",0,1,1428515557804896259,JFloyd314,,,1428515557804896259,JFloyd314,Waiting for the Big XII 🇺🇦,,558,269,35623,False,8204
2022-11-09 20:39:34,"ATTENTION: in 2018, GA SecState Brian Kemp ran the election in which he was the candidate for Governor. DONT let be intimidated!",[],[26659619],['katiehobbs'],0,0,,,,,21709908,soleilbrille18,Czechmate 🇺🇦🇨🇿🇺🇦🇺🇸,,5336,5308,1836,False,53805
2022-11-09 20:38:59,Wait till you hear about Brian Kemp in 2018...it'll make your head spin ,[],[1112724144427139072],['JamesBradleyCA'],0,0,1112724144427139072,JamesBradleyCA,,,380523543,crisda25,Cris A. 😊🌻🇪🇸🇺🇲,,1076,142,38935,False,13597
2022-11-09 20:38:47,"Now do Brian Kemp from Georgia. ,",[],"[1587306925401595905, 834166677579321345]","['Jessie4T', 'SecretaryHobbs']",0,1,1587306925401595905,Jessie4T,,,1385980674,PinkyVoteBlue,Toni188,"From Nunyabidniz, USA",866,459,89167,False,34743
2022-11-09 20:38:40,"Im not asking about the caste system. Im asking about Killer Mike, Gov. Kemp and Herschel Walker. Which one do you think is preparing to have a hearing on reparations? Please let me know.",[],"[1322619095460794369, 16873455]","['BearsFanNTrpleD', 'TalbertSwan']",0,0,1322619095460794369,BearsFanNTrpleD,,,767138645807685632,UndrayR,Undray Rogers,"Houston, TX",296,102,23936,False,6067
2022-11-09 20:37:50,"Governor Kemp has an even nicer ring to it! And shortly, how about president DeSantis? ",[],[818893114979061761],['JoJoFromJerz'],0,0,818893114979061761,JoJoFromJerz,,,1575089034174529537,GreggBurke51,Gregg Burke,,331,46,187,False,874
2022-11-09 20:37:30,"In general I agree. But, how did you feel in 18 when then SecState Brian Kemp ran the voting for the Gov race in which he was the candidate?",[],[1187835922118787073],['lavern_spicer'],0,0,1187835922118787073,lavern_spicer,,,21709908,soleilbrille18,Czechmate 🇺🇦🇨🇿🇺🇦🇺🇸,,5336,5308,1836,False,53805
2022-11-09 20:37:20,Republicans are here and Ron DeSantis and Brian Kemp will big campaigning for Herschel Walker,[],"[1084468387491790848, 1137179391807463425]","['Victorshi2020', 'VotersTomorrow']",0,0,1084468387491790848,Victorshi2020,,,1503920853398044676,Livingforone1,Andrew ison,,23,4,440,False,341
2022-11-09 20:36:49,How tf does one rationalize voting for Brian Kemp over Stacey Abrams after hearing both of them talk for more than ten seconds,[],[],[],0,0,,,,,30525873,TheNicastronaut,Adam Nicastro,"Atlanta, GA",216,180,4816,False,10952
2022-11-09 20:36:26,Brian Kemp was SOS the first time he defeated Stacey Abrams..he ran oversight of that contested election.. we're getting what we gave..look it up if you don't believe me.,[],[1517446013686108162],['MistyBluefla'],0,0,1517446013686108162,MistyBluefla,,,1519679895114334210,BobOU812Bob,Bob,I'm Everywhere ,784,671,18464,False,12245
2022-11-09 20:36:10,Brian Kemp was in exactly that position in GA when he won his first term vs Stacy Abrams - did that invalidate his win?,[],[1112724144427139072],['JamesBradleyCA'],0,0,1112724144427139072,JamesBradleyCA,,,1551962340391788546,swimmer_dad,SwimmerDad,,484,27,684,False,891
2022-11-09 20:35:57,Good question for Brian Kemp!,[],"[1112724144427139072, 24519852]","['JamesBradleyCA', 'gloriawonderous']",0,0,1112724144427139072,JamesBradleyCA,,,18964487,apachendeh,JCWillis,"Oregon, USA",4892,4344,111242,False,86720
2022-11-09 20:35:25,"So did Brian Kemp in 2018, when he purged hundreds of thousands of voters from the rolls to help himself win. You hypocrites think people forget? Stop it.",[],[1496693715129159681],['AZJudes'],0,1,1496693715129159681,AZJudes,,,1534566669292650497,SarazonT,Sarazon TallDiva,,3,1,1,False,75
2022-11-09 20:35:15,No you're embarrassing. People vote for their reasons. We don't give a damn if you don't like who we voted for. Brian Kemp is still the governor and you can stay big mad!,[],[2477661396],['nia_louisee'],0,0,2477661396,nia_louisee,,,720082510609313792,Madam_Constance,Constance,Atlanta,137,9,21,False,60
2022-11-09 20:34:51,When Brian Kemp Sec of State of Georgia didn't recuse himself as he ran for Governor. He even threw thousands off the voter rolls Katie Hobbs hasn't engaged in any shenanigans. So what is your point? You understand Kemp was wrong?,[],"[15212187, 26659619]","['bennyjohnson', 'katiehobbs']",1,12,15212187,bennyjohnson,,,4664402408,Sew_In_a_Stew,JoAnn Stewart Always Pro-Democracy,"Illinois, USA",6427,5841,63578,False,81000
