created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,geo,coordinates,user_id,user_screen_name,user_name,user_location,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-10-23 03:13:25,"Killer Mike cozied up with Georgia Gov. Brian Kemp and Senate candidate Herschel Walker allowing legitimacy to their campaigns with the Black community. , via",[],[14511951],['HuffPost'],0,0,,,,,123141367,peachkiller85,peachkiller85,,1097,172,11465,False,23536
2022-10-23 03:04:40,"If the Georgia governor race follows the distribution % of early votes vs election day votes seen in 2018 AND the racial groups split as the 2018 exit polls say, the governor's race goes to a runoff. Kemp 48.6 - Abrams 49.6 - Lib 1.8 But let me show why this is implausible... ,",[],[],[],0,5,,,,,15795580,Jake_W,Jake Walker,"Grand Forks, ND",1993,2825,17079,False,161531
2022-10-23 03:02:52,"Georgia Governor: Kemp (R-inc) 52% (+9) Abrams (D) 43% . Georgia Senate: Warnock (D-inc) 46% Walker (R) 46% Wick, 1,018 LV, 10/8-13 ,",[],[],[],58,391,,,,,1903105045,Politics_Polls,Political Polls,,302,289321,2015,False,33228
2022-10-23 02:47:43,"Brian Kemp, current Georgia Gov., had 13 black elected school board members arrested in Quitman, GA because they were black. Read this story. VOTE FOR STACEY ABRAMS, not Brian Kemp, racist. Read the true story here: ,",[],[],[],1,0,,,,,385492855,CampbellTim7,TCam,"Atlanta, GA",510,323,11073,False,5130
2022-10-23 02:44:59,"You first, who won the 2018 Georgia Governors race and who STILL hasnt conceded.",[],"[1427314532200894470, 745540429, 459872442, 215207998]","['Rando8715401', 'TheEliKlein', 'RadioFreeTom', 'kurteichenwald']",0,0,1427314532200894470,Rando8715401,,,16135933,msk68,msk68,"New Hampshire, USA",254,34,2679,False,4200
2022-10-23 02:34:00,"Does weight speak to a persons discipline? Good judgment? In the tight race for Georgia governor, Black men emerge as Stacey Abrams' key voters , via",[],[7309052],['YahooNews'],0,1,,,,,2261692602,MidwestCasey,MidwestCasey,,705,115,812,False,16426
2022-10-23 02:23:53,You mean election deniers like Hillary Clinton that spent 4 years calling Trump illegitimate or Pelosi and Dems that spent four years trying to reverse Trumps win with lies and failed impeachment or Stacy Abrams that continues to think she is GA Governor!,[],[807357676300730368],['stengel'],0,0,807357676300730368,stengel,,,2414922692,826352Tam,Tam,North America ,54,124,4684,False,48142
2022-10-23 02:23:11,"Brian Kemp Georgia Governor &amp; Republicans COST Georgia Economy $100 Million LOSS by passing 2021 Election Integrity Act Law, $40 Million LOSS of Cancelled June 2022 Atlanta Midtown Music Festival because of Brian Kemp &amp; Republicans Open CARRY GUN Law VOTE OCT. 17 - NOV. 4 ,",[],[],[],0,0,,,,,1512728431817019397,DekotaGa,Justin Dekota Laster GA Governor,,0,8,1,False,35
2022-10-23 01:26:47,"NEW: Wick ( ) GA GOV (R) Brian Kemp 53% (+8) (D) Stacey Abrams 45% GA SEN (D) Raphael Warnock 49% (+1) (R) Herschel Walker 48% AZ GOV (R) Kari Lake 49% (=) (D) Katie Hobbs 49% AZ SEN (D) Mark Kelly 50% (+2) (R) Blake Masters 48% ,",[],[],[],74,341,,,,,1427476600744988672,IAPolls2022,InteractivePolls,,8,50466,14929,False,3374
2022-10-23 01:25:45,"Early voting has begun! Please click the link for more information: , ,",[],[],[],0,1,,,,,1536762493,GSUPoliSci,Pol Sci @ GSU,"Atlanta, Georgia",118,462,201,False,574
