created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,geo,coordinates,user_id,user_screen_name,user_name,user_location,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-10-25 18:45:40,BREAKING: New Poll for GA Senate: Brian Kemp (R) 48% Stacey Abrams (D) 48%,[],[],[],4,12,,,,,1575205434843049984,ericareport,Erica Marsh,Washington D.C. ,850,10701,284,False,558
2022-10-25 18:40:13,Hope Brian Kemp doesn't hide voting machines like he did last time. ,[],"[1502404423842246660, 255812611]","['TeamAbrams', 'donwinslow']",0,0,1502404423842246660,TeamAbrams,,,1198727477415170048,TheNicAbides,The Nic Abides,,254,5235,33841,False,75859
2022-10-25 18:36:58,"I will always remember the Quitman 10+2. Brian Kemp has always tried to suppress the vote. ,",['GeorgiaRemembers'],[],[],0,0,,,,,474448620,jwwiesner,Josh Wiesner,Coastal Georgia,531,53,2167,False,749
2022-10-25 18:34:54,"I'm going to say something a lot of Black folks are thinking, but few will say aloud. Lean in close. Gov. Kemp in Georgia handled the pandemic better than Abrams would have.",[],[],[],0,5,,,,,361423497,IramiOF,Irami Osei-Frimpong,"Athens, GA",976,13702,18409,False,23819
2022-10-25 18:32:58,"Just voted for Brian Kemp and Herschel Walker ,","['MAGA', 'GodBlessAmerica']",[],[],0,1,,,,,1532138575374045184,TheBMutualist,Born Mutualist,"Atlanta, GA",124,191,6489,False,7581
2022-10-25 18:29:06,"Brian Kemp &gt; Stacey Abrams ,",[],[],[],0,1,,,,,1906335570,SonofKiese,Stop being weak,,449,176,7457,False,10956
2022-10-25 18:28:37,"Let us not forget who Brian Kemp really is! ,",[],[],[],0,1,,,,,1260681326,royceforatlanta,Royce Carter Mann,"Atlanta, GA",1054,1204,1155,False,701
2022-10-25 18:25:41,"The best  and only way  to beat Gov. Brian Kemps voter suppression agenda is to ,",['VoteEarly'],[],[],1,5,,,,,3232804748,MaxFlugrath,Max Flugrath😤,Atlanta,1431,4885,20153,False,7433
2022-10-25 18:23:53,"Show Brian Kemp we will not back down despite his efforts to suppress our voices. Vote early now. ,",[],[],[],6,10,1502404423842246660,TeamAbrams,,,1502404423842246660,TeamAbrams,Team Abrams,"Georgia, USA",61,3018,352,True,492
2022-10-25 18:23:53,"Brian Kemp will try to lie and twist the truth, but what SB 202 really is: a sweeping anti-voter law that seeks to limit access to voting and suppress minority voices. The best  and the only way  to beat Brian Kemps voter suppression agenda is to vote early. ,",['GeorgiaRemembers'],[],[],97,153,,,,,1502404423842246660,TeamAbrams,Team Abrams,"Georgia, USA",61,3018,352,True,492
2022-10-25 18:17:58,"Killer Mike Appears To Compare Meeting With Brian Kemp To MLK Meeting With LBJ, And, UhNo , ,",[],[],[],0,0,,,,,58845996,BlackAmericaWeb,BlackAmericaWeb.com,"Dallas, TX",61,58885,139,False,75353
